domain,url,tag,classes,label_true,label_pred,confidence,text
arxiv.org,https://arxiv.org/abs/2302.00001,div,,journal,other,0.885,arXiv-issued DOI via DataCite
arxiv.org,https://arxiv.org/abs/2301.00001,h1,,journal,other,0.8525,arXivLabs: experimental projects with community collaborators
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.33056877292448333,"P. Frazier, D. Kempe, J. Kleinberg, R. Kleinberg.
Incentivizing Exploration.
Proc. 15th ACM Conference on Economics and Computation (EC), 2014.

 
A. Anderson, D. Huttenlocher, J. Kleinberg, J. Leskovec.
Steering User Behavior with Badges.
Proc. 22nd International World Wide Web Conference, 2013.


J. Kleinberg, K. Ligett.
Information-sharing in social networks.
Games and Economic Behavior 82, 2013.

F. Chierichetti, J. Kleinberg.

Voting with Limited Information and Many Alternatives.
Proc. 23r"
arxiv.org,https://arxiv.org/abs/2301.00001,td,tablecell arxividv,journal,other,0.8175,"(or 
arXiv:2301.00001v1 [cs.HC] for this version)"
arxiv.org,https://arxiv.org/abs/2302.00123,div,column,journal,other,0.89,"contact arXivClick here to contact arXiv
 Contact


subscribe to arXiv mailingsClick here to subscribe
 Subscribe"
arxiv.org,https://arxiv.org/abs/2302.00123,div,browse,year,other,0.43,"Current browse context: cs.CV


< prev

  |   
next >


new
 | 
recent
 | 2023-02

    Change to browse by:
    
cs
cs.AI"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.435,"J. Kleinberg.  Approximation Algorithms
for Disjoint Paths Problems.
Ph.D Thesis, Dept. of EECS, MIT, 1996."
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.4301470707427454,"A. Krause, C. Guestrin, A. Gupta, J. Kleinberg. 

Near-optimal Sensor Placements: Maximizing Information 
while Minimizing Communication Cost. 
Proc. Information Processing in Sensor Networks (IPSN), 2006.


J. Kleinberg.
An Approximation Algorithm for the
Disjoint Paths Problem in Even-Degree Planar Graphs.
Proc. 46th IEEE Symposium on Foundations of Computer Science, 2005.


I. Abraham, Y. Bartal, T-H. Chan, K. Dhamdhere,
A. Gupta, J. Kleinberg, O. Neiman, A. Slivkins.
Metric Embeddings with R"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.40332371794871796,"J. Cheng, D. Romero, B. Meeder, J. Kleinberg.
Predicting Reciprocity in Social Networks.
Proc. 3rd IEEE Conference on Social Computing, 2011.


D. Romero, J. Kleinberg.
The Directed Closure Process in Hybrid Social-Information Networks, with an Analysis of Link Formation on Twitter.
Proc. 4th International AAAI Conference on Weblogs and Social Media, 2010.


S. Arbesman, J. Kleinberg, S. Strogatz. 
Superlinear Scaling 
for Innovation in Cities.
Physical Review E 79(1), 2009.


J. Kleinberg, S. S"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.618445652173913,"K. Tomlinson, T. Namjoshi, J. Ugander, J. Kleinberg.
Replicating Electoral Success.
Proc. 39th AAAI Conference on Artificial Intelligence (AAAI-25), 2025.


E. Pierson, D. Shanmugam, R. Movva, J. Kleinberg, M. Agrawal, M. Dredze, K. Ferryman, J.W. Gichoya, D. Jurafsky, P.W. Koh, K. Levy, S. Mullainathan, Z. Obermeyer, H. Suresh, K. Vafa. 
Using Large Language Models to Promote Health Equity.
New England Journal of Medicine AI (NEJM AI) 2(2), 2025.


K. Blumer, J. Kleinberg.
Tracking Patterns in "
